epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.21,1.31576,1.46849,1.18088,0.87653,0.85708,0.88433,0.53316,1.35743,1.12459,1.23853,0.000666289,0.000666289,0.000666289
2,895.206,1.3131,0.88942,1.1869,0.82009,0.78498,0.79136,0.4865,1.29831,1.07212,1.21389,0.00130656,0.00130656,0.00130656
3,1282.95,1.30913,0.83144,1.19197,0.93765,0.87107,0.92047,0.59304,1.25408,0.837,1.17762,0.00192044,0.00192044,0.00192044
4,1672.84,1.2846,0.79505,1.16989,0.94761,0.88167,0.92893,0.58753,1.31084,0.72688,1.19369,0.0018812,0.0018812,0.0018812
5,2044.06,1.26402,0.75291,1.15506,0.9194,0.89386,0.91423,0.5928,1.22688,0.70876,1.15486,0.0018416,0.0018416,0.0018416
6,2411.76,1.24464,0.71316,1.14963,0.93571,0.90296,0.91786,0.61157,1.18466,0.64745,1.12228,0.001802,0.001802,0.001802
7,2789.33,1.22099,0.68851,1.14293,0.96364,0.90563,0.94636,0.62608,1.20593,0.62687,1.13687,0.0017624,0.0017624,0.0017624
8,3171.05,1.20385,0.67213,1.12974,0.95316,0.91787,0.94675,0.631,1.18901,0.59398,1.12383,0.0017228,0.0017228,0.0017228
9,3546.97,1.21395,0.66145,1.12731,0.97082,0.91754,0.95623,0.63117,1.21347,0.5863,1.16166,0.0016832,0.0016832,0.0016832
10,3922.53,1.18656,0.63618,1.11602,0.95412,0.91435,0.94977,0.64365,1.17916,0.5793,1.12124,0.0016436,0.0016436,0.0016436
11,4288.88,1.1897,0.62744,1.11599,0.97435,0.91936,0.95598,0.65053,1.14296,0.56586,1.10485,0.001604,0.001604,0.001604
12,4666.68,1.17967,0.61993,1.11432,0.97503,0.92495,0.95991,0.66103,1.15925,0.54414,1.11064,0.0015644,0.0015644,0.0015644
13,5063.66,1.17051,0.60778,1.10417,0.97632,0.92346,0.95979,0.65346,1.14643,0.5496,1.0998,0.0015248,0.0015248,0.0015248
14,5433.34,1.17037,0.60359,1.11031,0.97038,0.92574,0.95931,0.66097,1.15512,0.52524,1.10157,0.0014852,0.0014852,0.0014852
15,5808.25,1.16557,0.60055,1.09753,0.97628,0.92574,0.95967,0.66083,1.14992,0.5199,1.09232,0.0014456,0.0014456,0.0014456
16,6198.87,1.15611,0.58158,1.09949,0.98212,0.92164,0.96524,0.67041,1.13297,0.51713,1.0849,0.001406,0.001406,0.001406
17,6579.91,1.14984,0.5762,1.0927,0.9748,0.93396,0.96216,0.67176,1.12552,0.514,1.08794,0.0013664,0.0013664,0.0013664
18,6970.01,1.15097,0.57427,1.10058,0.97883,0.92073,0.96359,0.67078,1.12927,0.51484,1.08654,0.0013268,0.0013268,0.0013268
19,7335.37,1.14313,0.56525,1.09284,0.98034,0.9303,0.96594,0.66997,1.1344,0.48587,1.08223,0.0012872,0.0012872,0.0012872
20,7710.36,1.13677,0.5671,1.08964,0.98462,0.93325,0.96547,0.67756,1.12595,0.48431,1.08219,0.0012476,0.0012476,0.0012476
21,8094.6,1.13086,0.55513,1.08932,0.97837,0.92747,0.96378,0.67715,1.13624,0.47566,1.08115,0.001208,0.001208,0.001208
22,8484.28,1.12686,0.54548,1.0841,0.98369,0.93415,0.96862,0.67949,1.11856,0.48443,1.07834,0.0011684,0.0011684,0.0011684
23,8869.66,1.12243,0.53851,1.08294,0.98815,0.9344,0.96535,0.67354,1.12023,0.47485,1.07789,0.0011288,0.0011288,0.0011288
24,9274,1.11794,0.53591,1.07957,0.97919,0.93531,0.96936,0.68089,1.11024,0.47311,1.07014,0.0010892,0.0010892,0.0010892
25,9660.05,1.11332,0.53361,1.07761,0.97986,0.93113,0.96921,0.68621,1.11494,0.45864,1.06879,0.0010496,0.0010496,0.0010496
26,10042.6,1.11217,0.52735,1.07362,0.97985,0.93048,0.96723,0.67872,1.11959,0.46611,1.07099,0.00101,0.00101,0.00101
